ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
DGW;2025;2;5731443019058.0;118607339874.0;125118716753.0;18532491126.0;7785383774709.0;5219947964130.0;8344948012382.0;5222481593557.0;3122466418825.0;0.0;-224043304773.0;1149129413018.0;3515120611915.0;837764494310.0;0
DGW;2025;3;7390637382649.0;168464447488.0;177973302295.0;10930644481.0;8659009278666.0;5918418020379.0;9216082516119.0;5925151649806.0;3290930866313.0;0.0;-741719962917.0;708686422060.0;3017132202284.0;1004204908978.0;0
DGW;2025;4;7990148667177.0;161435493232.0;213293578550.0;19558904395.0;10704379520381.0;7782454897947.0;11259354886919.0;7786988527374.0;3472366359545.0;0.0;1271618008653.0;1742001985979.0;4436217717740.0;1163421826200.0;0
DGW;2026;1;8500182474845.0;201883536887.0;245991233357.0;11597258644.0;9479790103881.0;6353536666145.0;10030979917127.0;6356626666145.0;3674353250982.0;0.0;-641619385594.0;989670465110.0;2681179498904.0;1364454018124.0;0
DPM;2025;2;5301128849642.0;413245742446.0;500486676048.0;97899461038.0;15336796245358.0;6643716780677.0;18541934272803.0;6821850637959.0;11720083634844.0;0.0;1034931097359.0;971208834176.0;1967827874183.0;2994919357839.0;0
DPM;2025;3;3728761982359.0;238751063252.0;350342582504.0;101380844399.0;15690848754234.0;7294074963469.0;18818185325305.0;7476253092779.0;11341932232526.0;0.0;-2086304437468.0;787537427166.0;3246083696300.0;2611612492344.0;0
DPM;2025;4;3414363337789.0;232076599170.0;234011917529.0;94418933461.0;14509456783696.0;6028505903383.0;17776328981155.0;6243792135165.0;11532536845990.0;0.0;-932956428400.0;1168353223865.0;3433708262496.0;2656086182393.0;0
DPM;2026;1;5623198207327.0;410836235060.0;514425053966.0;92881417040.0;14773851304782.0;6125118045188.0;18156994486822.0;6340404276970.0;11816590209852.0;0.0;897032331342.0;1191436947177.0;3064378472830.0;2931676097719.0;0
FPT;2025;2;16624713040067.0;2740271400678.0;3129408582030.0;721965579781.0;52711179992741.0;37683199470884.0;81266075455371.0;41393292129716.0;39872783325655.0;2739611909827.0;4190477000730.0;10019630995136.0;2074111218172.0;13754755729692.0;0
FPT;2025;3;17204521225302.0;2901545752650.0;3346375732746.0;734178712672.0;53632976863548.0;36285959995924.0;82738304930449.0;39907781019976.0;42830523910473.0;2681435422290.0;4344020060779.0;9853512731370.0;2050315910017.0;13905342142939.0;0
FPT;2025;4;20225449892881.0;2994964817096.0;3482048271187.0;814010946633.0;58137438254908.0;41524928721230.0;88141991634625.0;44393950887086.0;43748040747539.0;1903789988184.0;4108450576803.0;10522105729992.0;2193769802339.0;14302416791936.0;0
FPT;2026;1;12479997206775.0;2476789833481.0;2747763827050.0;409926454508.0;41527873060120.0;25696151990523.0;68586094785217.0;28464058214856.0;40122036570361.0;1605069048520.0;-2847813717192.0;7993577611642.0;1094571460159.0;19702755221930.0;0
GAS;2025;2;30080421244663.0;4808599034503.0;5978744151042.0;696239333549.0;64857286428940.0;14439813602726.0;88634139110702.0;19860792028126.0;68773347082576.0;1913640737079.0;4737363701951.0;10377145910363.0;3225558512687.0;13611780607173.0;0
GAS;2025;3;35690134900226.0;2612819725552.0;3209052703186.0;765505523929.0;70160798119085.0;22059820732152.0;93864613349663.0;27487308376982.0;66377304972681.0;1911338737079.0;3663316516134.0;11641062000554.0;2382547626057.0;11154431403738.0;0
GAS;2025;4;43683070609001.0;1387429975481.0;1763597883667.0;594017297856.0;69902465635326.0;20573719389418.0;93568198109790.0;25914808991853.0;67653389117937.0;1531862874096.0;491071034464.0;6876468282085.0;4398771281185.0;12484110062726.0;0
GAS;2026;1;38019609031268.0;2994115272577.0;3754223754396.0;555990118221.0;69205780703236.0;16967709085764.0;92923423491919.0;22333645606660.0;70589777885259.0;1542529805063.0;-468939629618.0;7321907295672.0;3047822684577.0;15384731714103.0;0
GMD;2025;2;1493731602173.0;604112898590.0;800990158125.0;97650305587.0;6743445928490.0;3150593359442.0;19085997110583.0;5307979253151.0;13778017857432.0;1776723717406.0;942655177522.0;3748759070672.0;95519911442.0;3348213303657.0;0
GMD;2025;3;1560495941737.0;432436874604.0;618825753449.0;97757806352.0;6117645952288.0;2570693569528.0;19322408276425.0;5134122120738.0;14188286155687.0;2076517194949.0;518368578252.0;2205274802008.0;85149275433.0;3654453680039.0;0
GMD;2025;4;1624851616060.0;738310431573.0;916868196491.0;123140917207.0;6206216188548.0;2342521762972.0;19826401375577.0;4908147222414.0;14918254153163.0;2081640014993.0;533381121550.0;1622294838770.0;92477952063.0;4212636741407.0;0
GMD;2026;1;1452406917275.0;650228328157.0;716255717110.0;126319825409.0;6244650212617.0;2095875760395.0;20181526187664.0;4612640039661.0;15568886148003.0;2036088361210.0;392935286773.0;1889737882920.0;102175670375.0;4746794870069.0;0
HAG;2025;2;2327420395000.0;519303097000.0;527165484000.0;224282811000.0;10948323437000.0;13715514723000.0;26004202677000.0;15629558760000.0;10374643917000.0;1407547661000.0;-1091982237000.0;193660834000.0;737007565000.0;409410378000.0;1
HAG;2025;3;1895404577000.0;432077443000.0;499237735000.0;81801947000.0;11743651534000.0;11659453233000.0;27743911994000.0;14459840808000.0;13284071186000.0;2114736058000.0;-52299425000.0;845771645000.0;747488420000.0;824605963000.0;0
HAG;2025;4;1829693146000.0;928358761000.0;1279596219000.0;291352773000.0;8291578593000.0;10119380225000.0;26381628496000.0;12199029738000.0;14182598758000.0;1429800331000.0;2271859203000.0;679528813000.0;769272018000.0;1392652658000.0;0
HAG;2026;1;1784072297000.0;1172663824000.0;1180810345000.0;182331379000.0;7791489032000.0;8372533538000.0;26223308684000.0;10261779313000.0;15961529371000.0;1427132731000.0;144571927000.0;332445818000.0;213659504000.0;2663129164000.0;0
HPG;2025;2;35910519111209.0;4264524105532.0;4960786332190.0;1617247528510.0;97613904938535.0;86427453449629.0;242224530919050.0;119865026005768.0;122359504913282.0;27312288660990.0;3285102529955.0;10688024277258.0;48853408114115.0;56176646414996.0;0
HPG;2025;3;36407416403924.0;4012252316723.0;4571024716176.0;2169156032825.0;95425988115582.0;83163272833172.0;246171338287652.0;118655326188383.0;127516012099269.0;28356095137594.0;8294398995676.0;9092562739415.0;45623656431728.0;47288178774368.0;0
HPG;2025;4;46176484549771.0;3888349733267.0;4567440888267.0;2882676563353.0;103659402759724.0;94186268324508.0;257899200817547.0;126679189940972.0;131220010876575.0;27479194057074.0;8564297977440.0;8300890304205.0;52828227344442.0;51037901749343.0;0
HPG;2026;1;52900847302653.0;9055918200023.0;10704033503572.0;2854213903270.0;104365180994071.0;86369839061570.0;259327500205228.0;119545707998756.0;139781792206472.0;27817253418546.0;6816755450021.0;11455231038505.0;43515585272210.0;59889614145579.0;0
HVN;2025;2;27999770444499.0;2956164225179.0;3026519899741.0;1225040209630.0;21761128224998.0;56051043084009.0;62333774592733.0;65432508574488.0;-3098733981755.0;4928577238678.0;2157510836954.0;6835526689570.0;3580575773856.0;-27389146666549.0;1
HVN;2025;3;30371020357312.0;732246313524.0;823687217682.0;1206684993428.0;32683906687318.0;56747612493697.0;73737176988890.0;67367836836166.0;6369340152724.0;4567184141497.0;4801078877740.0;16303940813548.0;3037547854494.0;-27013187457963.0;0
HVN;2025;4;32285117933283.0;432893888113.0;477874241081.0;1193824056829.0;32050584150286.0;56433407840658.0;73174881280887.0;66445216324312.0;6729664956575.0;3725108049774.0;2983025869337.0;9895757265015.0;3795531249840.0;-26685826774100.0;0
HVN;2026;1;36882751087437.0;4514536071155.0;4531972329985.0;1171708568108.0;35730653762336.0;57946126250914.0;79063570319927.0;67831397875139.0;11232172444788.0;3209021362731.0;5398939755473.0;9949763562420.0;3812004598277.0;-22303632912205.0;0
KDH;2025;2;1049326533000.0;196276357000.0;242596607000.0;3226547000.0;29318561512000.0;3515554125000.0;31254518576000.0;11546172727000.0;19708345849000.0;6916795631000.0;-1265721035000.0;2460274084000.0;23007410442000.0;3882061411000.0;0
KDH;2025;3;1098244194000.0;525903525000.0;658770261000.0;3694654000.0;30594374778000.0;3380942744000.0;33080867528000.0;12703074873000.0;20377792655000.0;8232952546000.0;-712761224000.0;2378235792000.0;23086435547000.0;3106703024000.0;0
KDH;2025;4;1793648861000.0;785790345000.0;957650788000.0;2860475000.0;31619143989000.0;3515423431000.0;34074020087000.0;12909740367000.0;21164279720000.0;8347586360000.0;1270381506000.0;2544284739000.0;23260015942000.0;3595429609000.0;0
KDH;2026;1;281361228000.0;327045031000.0;76513759000.0;3787811000.0;37310715130000.0;3394096620000.0;39861897315000.0;18337716752000.0;21524180563000.0;13395790342000.0;-633698923000.0;3613808683000.0;29125945475000.0;3876815060000.0;0
MSN;2025;2;18315140000000.0;1619376000000.0;1624535000000.0;848014000000.0;32650920000000.0;36915519000000.0;123466559000000.0;81823900000000.0;41642659000000.0;39144065000000.0;1346737000000.0;10552742000000.0;10282782000000.0;11557573000000.0;0
MSN;2025;3;21163826000000.0;1865752000000.0;2135503000000.0;841042000000.0;32214095000000.0;37637809000000.0;121351209000000.0;78378057000000.0;42973152000000.0;37009316000000.0;1253779000000.0;13266315000000.0;10307815000000.0;12708809000000.0;0
MSN;2025;4;23245825000000.0;2295343000000.0;2642686000000.0;859742000000.0;36234495000000.0;40257475000000.0;128963171000000.0;83884527000000.0;45078644000000.0;40546194000000.0;-1155039000000.0;12101850000000.0;11262216000000.0;14355609000000.0;0
MSN;2026;1;24019754000000.0;1973577000000.0;2318740000000.0;929330000000.0;31419317000000.0;41645707000000.0;130717940000000.0;84455333000000.0;46262607000000.0;39839621000000.0;3473727000000.0;7081065000000.0;11329909000000.0;15601403000000.0;0
MWG;2025;2;37619968659970.0;1657529120910.0;2041250769970.0;489299387395.0;75933600138863.0;50985234350916.0;81001399247768.0;50985234350916.0;30016164896852.0;0.0;1442670180462.0;6030067748439.0;23691724133318.0;14297771841487.0;0
MWG;2025;3;39852507152646.0;1783665633985.0;2190441447033.0;459321401160.0;75125383121673.0;48491298270189.0;80288497892066.0;48491298270189.0;31797199621877.0;0.0;2775816846232.0;5510816169528.0;24101279307428.0;16068670758791.0;0
MWG;2025;4;42320711388542.0;2083594362304.0;2492183508086.0;433341853327.0;77201650782966.0;50769502237457.0;83945619612034.0;50769502237457.0;33176117374577.0;0.0;-611871679908.0;4999925717187.0;27266851974258.0;18068194576159.0;0
MWG;2026;1;46461952026773.0;2757557020527.0;3347123417867.0;393929975265.0;76834611871316.0;48061216417223.0;83994558472327.0;48061216417223.0;35933342055104.0;0.0;1193254573697.0;4553652582201.0;27600707843304.0;20782625319265.0;0
NVL;2025;2;1936598230585.0;-189868378915.0;-417789709313.0;254999998866.0;203376141981170.0;103476262105674.0;238619028593128.0;186651367093163.0;51967661499965.0;29510004982030.0;-6620088911346.0;4305979590796.0;150112707450262.0;14525216597522.0;1
NVL;2025;3;1683130424875.0;-1153238964099.0;-839337620064.0;259285996411.0;203298543739096.0;114084230472201.0;239574800711639.0;188760603850358.0;50814196861281.0;32349327063428.0;-1626687311363.0;3837770809681.0;152285411287107.0;13687052777657.0;1
NVL;2025;4;1567838643688.0;3680945295574.0;3179495470848.0;258996012053.0;206852318779699.0;95996837653507.0;249907848818804.0;191014858442941.0;58892990375863.0;35672724217510.0;2936999449151.0;4395471320099.0;153324020054942.0;16975588189332.0;1
NVL;2026;1;3586658446812.0;859557448665.0;1476352429212.0;246690287063.0;207035228227019.0;101342632692806.0;253145048762541.0;193308580403613.0;59836468358928.0;36686646878977.0;-436501168392.0;4518328920108.0;154608590193270.0;17876882996493.0;1
PDR;2025;2;19926802911.0;64894628067.0;112609788783.0;3145994109.0;20913450557357.0;7592640178449.0;24226363759099.0;12370619932554.0;11855743826545.0;4777974654105.0;-1482534048912.0;25200283827.0;14106010265503.0;2066285585985.0;0
PDR;2025;3;506525735876.0;85848258243.0;123626056764.0;3047035876.0;21281715194792.0;7601727634713.0;24245517055370.0;12304782947922.0;11940734107448.0;4703050213209.0;-131806105422.0;115998896970.0;14977294134859.0;1425482382656.0;0
PDR;2025;4;360578573688.0;313327136627.0;434240569752.0;2948063375.0;24175702852037.0;10257721641617.0;27270246564755.0;14846308044248.0;12423938520507.0;4438055731121.0;-923071738591.0;375924179668.0;16714675448271.0;1736087533354.0;0
PDR;2026;1;104332489333.0;137538786139.0;447115888151.0;2948063375.0;23450438778534.0;10595628382502.0;26600203409010.0;14044149481236.0;12556053927774.0;3299038707224.0;-685851946632.0;185230983944.0;15061665911567.0;1867137747612.0;0
PLX;2025;2;76538979974578.0;1424411077462.0;1637523201076.0;576467199344.0;60926785823298.0;58197563961918.0;87249489527737.0;59044109329602.0;28205380198135.0;442509360623.0;2193106949908.0;10770637171668.0;16789377724048.0;2830321976089.0;0
PLX;2025;3;83631407329088.0;705970238434.0;769408662316.0;423890533945.0;65161869398069.0;61730228024488.0;91574911377304.0;62675251687942.0;28899659689362.0;554091687617.0;-799826559974.0;12616557939958.0;16617288859733.0;3450147660026.0;0
PLX;2025;4;81843097378617.0;685594446383.0;832079729967.0;793334965987.0;59561171811187.0;55354328118906.0;85855397411812.0;56293654583191.0;29561742828621.0;609034269222.0;5146872074269.0;10675798547805.0;13861852856196.0;4004042603717.0;0
PLX;2026;1;98697936100129.0;-662477125907.0;-493347203011.0;535308557866.0;79837671665610.0;76146303967243.0;106072582121188.0;77188587290317.0;28883994830871.0;652775807603.0;9375725757265.0;10034406335760.0;29753882640248.0;3208836640440.0;0
PNJ;2025;2;7582449574137.0;436997250814.0;547984597066.0;21536874400.0;15713933648138.0;5173829954780.0;17153777037791.0;5184392368530.0;11969384669261.0;0.0;126910990241.0;346404312952.0;13708719465746.0;3170263529885.0;0
PNJ;2025;3;8135504431886.0;495704579157.0;607018640306.0;21021081735.0;15664103070660.0;5046824044102.0;17050707690220.0;5058685745602.0;11992021944618.0;0.0;1822178660873.0;584695579192.0;12448786823997.0;3192900805242.0;0
PNJ;2025;4;9622992508867.0;1218067714794.0;1515364684545.0;20536795649.0;18614031193890.0;6874318773629.0;20163630247041.0;6888716787629.0;13274913459412.0;0.0;-1695009397227.0;522025257031.0;15835334529837.0;4410968520036.0;0
PNJ;2026;1;17245230999288.0;1467405321344.0;1864096573081.0;18518277954.0;18163447994797.0;5277290943535.0;19692785555789.0;5291615882033.0;14401169673756.0;0.0;3557793601151.0;923543256525.0;13419012225443.0;5537224734380.0;0
REE;2025;2;2513507808623.0;738684202066.0;828222248900.0;345966042505.0;11912726111876.0;4144635033247.0;37015909890398.0;13528541671216.0;23487368219182.0;8661142973014.0;728632137544.0;4779867178468.0;1240817458635.0;12806267272430.0;0
REE;2025;3;2552162332981.0;824812238009.0;936561565081.0;364196514462.0;12359235870047.0;4276976052607.0;38265997037514.0;14100981703005.0;24165015334509.0;9081408054107.0;598005869684.0;3356120292119.0;1291160053507.0;13481307176488.0;0
REE;2025;4;2877577731793.0;769645260281.0;886674031604.0;338083231398.0;13701485517767.0;5147199579595.0;40074851708537.0;15278313579883.0;24796538128654.0;9379675887231.0;1076434854731.0;3045832588034.0;1523627823536.0;14103538019129.0;0
REE;2026;1;2470751926358.0;938744544933.0;1047013783760.0;353940098547.0;13821465851430.0;5726347526598.0;40740992965557.0;15800239617195.0;24940753348362.0;9312383385649.0;989079712010.0;4004397142803.0;1393235561820.0;14266848745717.0;0
ROS;2021;1;422534655414.0;18144137418.0;17575899636.0;12177967331.0;6825975386393.0;4953565342890.0;11239081538745.0;5212320176251.0;6026761362494.0;4632345603.0;958932071507.0;16726499851.0;2769090344449.0;350850152494.0;1
ROS;2021;2;605196027552.0;14759658584.0;29289410823.0;12037507255.0;6728214734986.0;5311759258797.0;11548839373271.0;5507318352193.0;6041521021078.0;3579058603.0;-378557537838.0;19542206043.0;2897660206785.0;365609811078.0;1
ROS;2021;3;780245991013.0;188096940.0;2404886444.0;12081911824.0;7376338865870.0;5471188372061.0;11707277143848.0;5665568025830.0;6041709118018.0;2066929603.0;20336939513.0;13209751917.0;3557089006723.0;365797908018.0;1
ROS;2021;4;688122767635.0;62109566874.0;18215621377.0;12080962873.0;8008228803100.0;5702441880596.0;12001592243405.0;5897773558513.0;6103818684892.0;2106130603.0;-184320598994.0;35288896970.0;3699143881136.0;427907474892.0;1
SAB;2025;2;6804334314775.0;1250676288766.0;1566161276770.0;175942761359.0;25102973272497.0;9852424610880.0;33196779117344.0;10322437517835.0;22874341599509.0;168646045663.0;2317370499649.0;6502903596185.0;1664304566153.0;7275878980244.0;0
SAB;2025;3;6436577577988.0;1403724992261.0;1562857632874.0;212358818279.0;20479352019762.0;6112332031218.0;31334772127400.0;6832228993871.0;24502543133529.0;168294980974.0;1158834150043.0;2910495187563.0;1744058989274.0;8589652614806.0;0
SAB;2025;4;6836551694306.0;1119088558719.0;1393436087241.0;164601140222.0;22140977869887.0;8880281129189.0;32597353623714.0;9597538547160.0;22999815076554.0;167935888117.0;547695256033.0;4016881626734.0;2027351808101.0;7047144144801.0;0
SAB;2026;1;6457179625505.0;1245443937892.0;1548337808833.0;161180778881.0;22187871267460.0;5953543692064.0;30874279886047.0;6674875070990.0;24199404815057.0;167488529873.0;951444864456.0;3698868639029.0;2062975444335.0;8191916327025.0;0
SBT;2025;2;6833731641626.0;154545383274.0;175947973414.0;141412023138.0;20054307978992.0;15549665514059.0;32679097161189.0;21828307600392.0;10850789560797.0;6037814229487.0;-100203768089.0;3555316479347.0;3583201943065.0;1046883789037.0;0
SBT;2025;3;5371734177990.0;198132481133.0;185728442444.0;129418133113.0;20777848951623.0;15993060638170.0;34188017370235.0;22510809525921.0;11677207844314.0;6300073428811.0;-479417537588.0;3700343431138.0;3116511234055.0;1201853414858.0;0
SBT;2025;4;6733649208915.0;168593636704.0;82923829332.0;128353697126.0;22289777120987.0;18193742950827.0;35898659501110.0;23688173000743.0;12210486500367.0;5282623023100.0;-735691299343.0;3051415611597.0;3025096165802.0;1320480832626.0;0
SBT;2026;1;8231005226906.0;244947423773.0;238602822188.0;139996705575.0;24796523665678.0;19648434896958.0;38672430510061.0;26263482194031.0;12408948316030.0;6405942654429.0;95991325761.0;3603709628343.0;4275560087297.0;1498012428310.0;0
SSI;2025;2;2993036323811.0;967599609833.0;1197581580299.0;24178523828.0;89550336667018.0;63291410737998.0;91983513316850.0;63377895977307.0;28605617339543.0;0.0;-3546554095482.0;2748925366218.0;;7534339463669.0;0
SSI;2025;3;4176668051899.0;1475598669616.0;1835408403000.0;24987098754.0;98345421485296.0;69359521615499.0;100711847158732.0;69456381325815.0;31255465832917.0;0.0;-9891532668940.0;254503105364.0;;6910344622578.0;0
SSI;2025;4;3601759602481.0;819689190094.0;998697843536.0;24572455035.0;89322786682359.0;61901661181462.0;94049979396183.0;61983660935421.0;32066318460762.0;0.0;12386454293605.0;3646492763118.0;;7737518495585.0;0
SSI;2026;1;3178135157313.0;1277594797901.0;1595722713102.0;24105386567.0;88250126248028.0;53335771681509.0;93113743341650.0;53445549677868.0;39668193663782.0;0.0;-1058707466231.0;918819193257.0;;9019056727721.0;0
VIC;2025;2;46422489000000.0;2296533000000.0;-14163430000000.0;5944211000000.0;529134246000000.0;512360784000000.0;958235441000000.0;799543551000000.0;158691890000000.0;156309167000000.0;88222505000000.0;74759825000000.0;135055347000000.0;51052527000000.0;0
VIC;2025;3;39135103000000.0;3025338000000.0;4829457000000.0;9008611000000.0;590641891000000.0;557896380000000.0;1087870325000000.0;925966426000000.0;161903899000000.0;204805693000000.0;7940584000000.0;72150719000000.0;185624958000000.0;52505390000000.0;0
VIC;2025;4;162226620000000.0;3499674000000.0;12113489000000.0;9663294000000.0;658772464000000.0;587454564000000.0;1118622625000000.0;967133690000000.0;151488935000000.0;221419341000000.0;-9444422000000.0;73542242000000.0;201580276000000.0;54277387000000.0;0
VIC;2026;1;104352018000000.0;5610779000000.0;5084455000000.0;7913123000000.0;669086072000000.0;626455564000000.0;1178694748000000.0;1024990928000000.0;153703820000000.0;220244483000000.0;26509936000000.0;54750360000000.0;217153958000000.0;52926078000000.0;0
VNM;2025;2;16724597479554.0;2488584680280.0;3118598303706.0;521675831592.0;38255091705279.0;19190691020760.0;55282661244375.0;19595608095818.0;35687053148557.0;152078435000.0;3896865384081.0;2498443286245.0;7047730548255.0;9620701471578.0;0
VNM;2025;3;16953231537863.0;2510532743203.0;3157752824075.0;541039255027.0;38746850813464.0;17327809293171.0;55677822006663.0;17725023298796.0;37952798707867.0;147666530200.0;3157043663634.0;5154466367051.0;6308583334358.0;11926642770429.0;0
VNM;2025;4;17033552405954.0;2827199040932.0;3432867145001.0;541738993017.0;36261180908033.0;18520286019795.0;53312370717301.0;18829355431194.0;34483015286107.0;62907826150.0;1738942804862.0;1794879718871.0;6839279842936.0;8522576422223.0;0
VNM;2026;1;16148657871623.0;2458221002532.0;2991830566118.0;537336950720.0;38757016956726.0;18456942372620.0;55429011127169.0;18740931850130.0;36688079277039.0;31134191400.0;269326997516.0;2077596293461.0;7399150703886.0;10719016444406.0;0
VRE;2025;2;2142630000000.0;1233260000000.0;1428329000000.0;340735000000.0;14764329000000.0;11707371000000.0;58241716000000.0;13782973000000.0;44458743000000.0;171637000000.0;1784908000000.0;5235253000000.0;299001000000.0;23005165000000.0;0
VRE;2025;3;2251000000000.0;1376430000000.0;1448223000000.0;346864000000.0;13768246000000.0;8346821000000.0;61264693000000.0;15554965000000.0;45709728000000.0;6383723000000.0;-2884948000000.0;2808595000000.0;267655000000.0;24381594000000.0;0
VRE;2025;4;2312326000000.0;2658837000000.0;3291340000000.0;347220000000.0;7961052000000.0;5173857000000.0;61279149000000.0;12910946000000.0;48368203000000.0;6380455000000.0;-2314552000000.0;4434617000000.0;236158000000.0;27040431000000.0;0
VRE;2026;1;2293618000000.0;1606257000000.0;1919582000000.0;330578000000.0;8182621000000.0;3256310000000.0;60962946000000.0;10988486000000.0;49974460000000.0;6368966000000.0;-262982000000.0;3788657000000.0;222141000000.0;28646688000000.0;0
